SIf_Id,scheme_id,Scheme_Name,Scheme_Objective,SchemeType_Desc,SchemeCat_Desc,Launch_Date,scheme_load,Scheme_min_amt,SIF_Name,AMC_Website,Scheme_Bonus
83,S-19,WSIF Equity Long-Short Fund,To generate long-term capital appreciation by investing in a diversified portfolio of equity and equity-related instruments while utilizing limited short exposure through derivatives. There is no assurance that the investment objective of the Investment strategy will be achieved.,Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2026-04-14T18:30:00.000Z,"Entry Load: NIL
Exit Load: NIL",1000000,The Wealth Company Mutual Fund,https://www.wealthcompanyamc.in,
61,S-20,Arthaya Equity Long Short Fund,"The investment objective of the Investment Strategy is to generate long
term capital appreciation over the investment cycle by deploying capital 
in equity and equity related instruments including limited short exposure 
through derivatives across the market capitalisation.",Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2026-05-03T18:30:00.000Z,,"10,00,000",Arthaya SIF,https://www.unionmf.com,
48,S-12,Arudha Equity Long-Short Fund,"The Investment strategy seeks to generate long-term capital appreciation by investing in a diversified portfolio of equity and equity-related instruments, including limited short exposure through derivatives
There is no assurance that the investment objective of the Investment strategy will be realized.",Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2026-03-04T18:30:00.000Z,"Exit Load:
•If redeemed/switched out on or within 30 days from the date of allotment: 0.50% of the applicable NAV.
•If redeemed/switched out after 30 days from date of allotment - Nil.","Rs. 10,00,000 and in multiples of Re. 1 thereafter",Arudha SIF,https://www.bandhanmutual.com,
48,S-10,Arudha Hybrid Long-Short Fund,"The investment objective of the strategy is to generate optimal returns by investing predominantly in equity and debt securities, including limited short exposure in equity and debt through derivatives.
Disclaimer: However, there can be no assurance that the investment objective of the investment strategy will be realized.",Interval Fund,Hybrid Investment Strategies - Hybrid Long-Short Fund,2026-01-08T18:30:00.000Z,Exit Load: NIL,"Rs. 10,00,000 and in multiples of Re. 1 thereafter",Arudha SIF,https://www.bandhanmutual.com,
70,S-5,Diviniti Equity Long Short Fund,"To generate long-term capital appreciation from a diversified portfolio that dynamically invests in equity and equity-related securities, including limited short exposure in equity through derivative instruments of companies across various market capitalisation.",Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2025-11-09T18:30:00.000Z,"Entry Load: Not Applicable
Exit Load –10% of the units allotted may be redeemed without any exit load, on or before completion of 6 months from  date of allotment of units. Any redemption in excess of such limit in the first 6 months from  date of allotment shall be subject to the following exit load:
• 0.50% if redeemed or switched out on or before completion of 6 months from allotment date
• Nil, if redeemed or switched out after completion of 6 months from the date of allotment of units","10,00,000",Diviniti SIF,https://www.itiamc.com,No
27,S-16,Sapphire Equity Long-Short SIF,"The investment strategy seeks to generate alpha over the long term by investing across a spectrum of large, mid and small cap companies using long/short equity strategies
There is no assurance that the investment objective of the investment strategy will be achieved.",Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2026-04-09T18:30:00.000Z,,"10,00,000",Franklin Templeton Mutual Fund,https://www.franklintempletonindia.com,
25,S-17,Titanium Equity Long-Short Fund,"To generate medium to long term capital appreciation by investing in listed 
equity and equity related instruments including limited short exposure in 
equity through derivative instruments.  
However, there is no assurance that the investment objective of the 
Investment strategy will be achieved.",Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2026-04-26T18:30:00.000Z,,"INR 10,00,000/- in Titanium SIF at PAN Level",Titanium SIF,https://www.tatamutualfund.com,
25,S-7,Titanium Hybrid Long-Short Fund,"To generate medium to long term capital appreciation by investing in equity and equity related instruments as well as debt and money market instruments, including limited short exposure in equity and debt through derivatives.
However, there is no assurance that the investment objective of the Investment strategy will be achieved.
",Interval Fund,Hybrid Investment Strategies - Hybrid Long-Short Fund,2025-11-23T18:30:00.000Z,,"10,00,000",Titanium SIF,https://www.tatamutualfund.com,
3,S-13,Apex Hybrid Long-Short Fund,"An interval investment strategy investing in arbitrage, long equity, debt, equity and debt derivatives, long short and REITs/InVITs including limited short exposure on permitted instruments through derivatives.",Interval Fund,Hybrid Investment Strategies - Hybrid Long-Short Fund,2026-03-05T18:30:00.000Z,"For redemption/switch-out of units on or before 90 days from the date of allotment: 0.50% of applicable NAV.
For redemption/switch-out of units after 90 days from the date of allotment: Nil.",Rs. 10 lakh and in multiples of Re. 1 thereafter,Apex SIF,https://mutualfund.adityabirlacapital.com/,
37,S-25,RedHex Hybrid Long-Short Fund,"The investment objective of the Investment Strategy is to generate regular returns and
capital appreciation by investing in fixed income securities and equity and equity related
securities including limited short exposure in equity and debt through derivatives. There
is no assurance that the investment objective of the Investment Strategy will be achieved.",Interval Fund,Hybrid Investment Strategies - Hybrid Long-Short Fund,2026-06-01T18:30:00.000Z,,1000000,HSBC Mutual Fund,https://www.assetmanagement.hsbc.co.in,
22,S-4,Magnum Hybrid Long Short Fund,"The investment objective of the Investment Strategy is to generate regular income by predominantly investing in Derivatives strategies like covered calls, arbitrage opportunities in the cash and derivatives segments of the equity markets and debt and money market instruments and to generate long-term capital appreciation through unhedged exposure to equity and equity related instruments. There is no assurance that the investment objective of the Investment
strategy will be achieved.",Interval Fund,Hybrid Investment Strategies - Hybrid Long-Short Fund,2025-09-30T18:30:00.000Z,,NFO-10 Lakhs and in multiples of Re1 thereafter.,Magnum SIF,https://www.sbimf.com,
45,S-26,Platinum Hybrid Long-Short Fund,"The Investment Strategy shall seek to generate regular income through investment in derivative strategies, arbitrage opportunities and debt and money market instruments and to generate long-term capital appreciation by investing in unhedged equity and equity related instruments.
There is no assurance that the investment objective of the Investment Strategy will be achieved.",Interval Fund,Hybrid Investment Strategies - Hybrid Long-Short Fund,2026-05-19T18:30:00.000Z,"-If redeemed within 30 daysfrom the date of allotment: 1%
-If redeemed after 30 days fromthe date of allotment: NIL",Rs.10 lakhs & AI- 1 lakh multiple of Rs 1000,Mirae Asset Mutual Fund,https://www.miraeassetmf.co.in,
